query,success,returncode,wall_ms,top1_preserved,topk_overlap_pct,protected_vector_bytes,wire_envelope_bytes,clinical_text_cosine,error
Acute Decompensated Heart Failure,True,0,10440,False,100.0,512,947,0.989,
Atelectasis,True,0,10542,True,100.0,512,947,0.9892,
COPD Exacerbation,True,0,10651,True,100.0,512,947,0.9893,
COPD Exacerbation with Atelectasis,True,0,9613,True,100.0,512,947,0.9894,
Community-Acquired Pneumonia,True,0,10203,True,80.0,512,947,0.9895,
Congestive Heart Failure,True,0,11259,True,100.0,512,947,0.9892,
Congestive Heart Failure Exacerbation,True,0,10367,True,100.0,512,947,0.9893,
Malignant Pleural Effusion (likely metastatic adenocarcinoma),True,0,9896,True,100.0,512,947,0.9895,
Malignant Pleural Effusion with secondary Atelectasis,True,0,11417,True,100.0,512,947,0.9894,
Pleural Effusion,True,0,10444,True,80.0,512,947,0.9891,
Pneumonia,True,0,11197,True,100.0,512,947,0.9896,
Post-obstructive Atelectasis,True,0,10206,True,100.0,512,947,0.9893,
Post-obstructive Atelectasis (likely due to mucus plugging secondary to recent URI),True,0,11511,True,80.0,512,947,0.9897,
Pulmonary Embolism,True,0,11637,True,80.0,512,947,0.9893,
"Right-sided Pleural Effusion (likely exudative, etiology unclear - could be infectious, inflammatory, or malignant)",True,0,13104,True,80.0,512,947,0.9891,
Spontaneous Pneumothorax,True,0,11660,True,100.0,512,947,0.9896,
