query,relevant_cases,ranking,success,returncode,wall_ms,recall_at_5,mrr,top1_hit,error
Acute Decompensated Heart Failure,"[""CASE-00080""]","[""CASE-00051"", ""CASE-00080"", ""CASE-00046"", ""CASE-00044"", ""CASE-00077""]",True,0,14728,1.0,0.5,False,
Atelectasis,"[""CASE-00029"", ""CASE-00053""]","[""CASE-00062"", ""CASE-00029"", ""CASE-00024"", ""CASE-00012"", ""CASE-00027""]",True,0,11435,0.5,0.5,False,
COPD Exacerbation,"[""CASE-00051""]","[""CASE-00051"", ""CASE-00068"", ""CASE-00056"", ""CASE-00036"", ""CASE-00077""]",True,0,10733,1.0,1.0,True,
COPD Exacerbation with Atelectasis,"[""CASE-00056""]","[""CASE-00051"", ""CASE-00062"", ""CASE-00024"", ""CASE-00029"", ""CASE-00056""]",True,0,10389,1.0,0.2,False,
Community-Acquired Pneumonia,"[""CASE-00074""]","[""CASE-00051"", ""CASE-00068"", ""CASE-00077"", ""CASE-00074"", ""CASE-00079""]",True,0,10243,1.0,0.25,False,
Congestive Heart Failure,"[""CASE-00008"", ""CASE-00018"", ""CASE-00044""]","[""CASE-00080"", ""CASE-00046"", ""CASE-00051"", ""CASE-00077"", ""CASE-00044""]",True,0,10493,0.3333333333333333,0.2,False,
Congestive Heart Failure Exacerbation,"[""CASE-00038"", ""CASE-00046""]","[""CASE-00051"", ""CASE-00046"", ""CASE-00077"", ""CASE-00068"", ""CASE-00036""]",True,0,12631,0.5,0.5,False,
Malignant Pleural Effusion (likely metastatic adenocarcinoma),"[""CASE-00012"", ""CASE-00022""]","[""CASE-00012"", ""CASE-00062"", ""CASE-00039"", ""CASE-00036"", ""CASE-00024""]",True,0,11345,0.5,1.0,True,
Malignant Pleural Effusion with secondary Atelectasis,"[""CASE-00062""]","[""CASE-00062"", ""CASE-00012"", ""CASE-00024"", ""CASE-00039"", ""CASE-00077""]",True,0,11630,1.0,1.0,True,
Pleural Effusion,"[""CASE-00076""]","[""CASE-00012"", ""CASE-00062"", ""CASE-00039"", ""CASE-00079"", ""CASE-00046""]",True,0,11419,0.0,0.0,False,
Pneumonia,"[""CASE-00002"", ""CASE-00068""]","[""CASE-00077"", ""CASE-00070"", ""CASE-00079"", ""CASE-00011"", ""CASE-00021""]",True,0,11154,0.0,0.0,False,
Post-obstructive Atelectasis,"[""CASE-00024""]","[""CASE-00062"", ""CASE-00024"", ""CASE-00027"", ""CASE-00029"", ""CASE-00077""]",True,0,11472,1.0,0.5,False,
Post-obstructive Atelectasis (likely due to mucus plugging secondary to recent URI),"[""CASE-00027""]","[""CASE-00027"", ""CASE-00024"", ""CASE-00062"", ""CASE-00029"", ""CASE-00077""]",True,0,11605,1.0,1.0,True,
Pulmonary Embolism,"[""CASE-00032"", ""CASE-00037"", ""CASE-00065""]","[""CASE-00077"", ""CASE-00062"", ""CASE-00070"", ""CASE-00012"", ""CASE-00011""]",True,0,10818,0.0,0.0,False,
"Right-sided Pleural Effusion (likely exudative, etiology unclear - could be infectious, inflammatory, or malignant)","[""CASE-00039""]","[""CASE-00012"", ""CASE-00062"", ""CASE-00039"", ""CASE-00011"", ""CASE-00079""]",True,0,11103,1.0,0.3333333333333333,False,
Spontaneous Pneumothorax,"[""CASE-00011"", ""CASE-00021"", ""CASE-00036"", ""CASE-00066"", ""CASE-00070"", ""CASE-00071"", ""CASE-00077"", ""CASE-00079""]","[""CASE-00011"", ""CASE-00021"", ""CASE-00077"", ""CASE-00070"", ""CASE-00079""]",True,0,11812,0.625,1.0,True,
